Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Swim_Time,Swim_Seconds,Overall_Rank,Class_Rank
Alexander Berggren,33,Herr,TriVäst,00:23:35,1415.9,ok,00:00:00,0.0,00:00:00,0.0,1,1
Jonas Örarbäck,21,Herr,TriVäst,00:29:25,1765.7,ok,00:00:00,0.0,00:00:00,0.0,2,2
Karl Wackerberg,26,Herr,TriVäst,00:29:39,1779.4,ok,00:00:00,0.0,00:00:00,0.0,3,3
Tobias Olsson,27,Herr,TriVäst,00:31:44,1904.8,ok,00:00:00,0.0,00:00:00,0.0,4,4
Jonathan Flod,22,Herr,TriVäst,00:31:49,1909.8,ok,00:00:00,0.0,00:00:00,0.0,5,5
Andreas Sjöstrand,28,Herr,TriVäst,00:33:10,1990.4,ok,00:00:00,0.0,00:00:00,0.0,6,6
Josefine Flod,1,Dam,TriVäst,00:33:12,1992.3,ok,00:00:00,0.0,00:00:00,0.0,7,1
Fredrik Überbacher,24,Herr,TriVäst,00:34:30,2070.3,ok,00:00:00,0.0,00:00:00,0.0,8,7
Susanna Milikic,13,Dam,Gäst,00:34:41,2081.7,ok,00:00:00,0.0,00:00:00,0.0,9,2
Maria Ernsfors,4,Dam,TriVäst,00:34:58,2098.9,ok,00:00:00,0.0,00:00:00,0.0,10,3
Christoffer Alm,23,Herr,TriVäst,00:36:24,2184.3,ok,00:00:00,0.0,00:00:00,0.0,11,8
My Forsberg,3,Dam,TriVäst,00:37:10,2230.9,ok,00:00:00,0.0,00:00:00,0.0,12,4
Charlotte Franc,14,Dam,Gäst,00:37:40,2260.4,ok,00:00:00,0.0,00:00:00,0.0,13,5
Amandine Durey,11,Dam,TriVäst,00:38:51,2331.8,ok,00:00:00,0.0,00:00:00,0.0,14,6
Ellinor Nilsson,8,Dam,TriVäst,00:39:53,2393.2,ok,00:00:00,0.0,00:00:00,0.0,15,7
Felix Gustavsson,30,Herr,TriVäst,00:40:08,2408.5,ok,00:00:00,0.0,00:00:00,0.0,16,9
Camilla Lundgren,7,Dam,TriVäst,00:40:15,2415.8,ok,00:00:00,0.0,00:00:00,0.0,17,8
Elina Kiviniemi,2,Dam,TriVäst,00:40:16,2416.6,ok,00:00:00,0.0,00:00:00,0.0,18,9
Jonatan Hägerström,29,Herr,TriVäst,00:43:31,2611.1,ok,00:00:00,0.0,00:00:00,0.0,19,10
Ronny Rosén,31,Herr,TriVäst,00:43:56,2636.2,ok,00:00:00,0.0,00:00:00,0.0,20,11
Adnan Hrustic,32,Herr,TriVäst,00:44:04,2644.9,ok,00:00:00,0.0,00:00:00,0.0,21,12
Maria Nilsson,12,Dam,TriVäst,00:54:25,3265.8,ok,00:00:00,0.0,00:00:00,0.0,22,10
Heleni Sapnara,10,Dam,TriVäst,00:55:00,3300.5,ok,00:00:00,0.0,00:00:00,0.0,23,11
